SIS ID,Sequence,Family,Scientific name,Common name,RL Category,PE (Possibly extinct),PEW (Possibly extinct in the wild),Seabird,Waterbird,Landbird,Migratory status,Ecosystem - Terrestrial,Ecosystem - Freshwater,Ecosystem - Marine,Red List Area of Occurrence,Red List Extent of Occurrence (smaller of breeding and non-breeding EOO),Population size (mature individuals),Population size derivation,Current population trend,Current population trend derivation
45020636,10,Ostriches,Struthio camelus,Common Ostrich,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,24400000,Unknown,not applicable,Decreasing,suspected
22732795,20,Ostriches,Struthio molybdophanes,Somali Ostrich,VU,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,1660000,Unknown,not applicable,Decreasing,inferred
22678073,40,Rheas,Rhea americana,Greater Rhea,NT,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,8740000,Unknown,not applicable,Decreasing,inferred
22678081,50,Rheas,Rhea pennata,Lesser Rhea,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,TRUE,FALSE,Unknown,2600000,Unknown,not applicable,Decreasing,suspected
22678157,100,Tinamous,Nothocercus julius,Tawny-breasted Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,1210000,Unknown,not applicable,Decreasing,suspected
22678154,110,Tinamous,Nothocercus bonapartei,Highland Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,2004000,50000-500000,suspected,Decreasing,suspected
22678160,120,Tinamous,Nothocercus nigrocapillus,Hooded Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,586000,100000-499999,estimated,Decreasing,suspected
22678135,130,Tinamous,Tinamus tao,Grey Tinamou,VU,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,8520000,100000-499999,estimated,Decreasing,inferred
22678139,140,Tinamous,Tinamus solitarius,Solitary Tinamou,NT,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,1930000,50000-200000,estimated,Decreasing,inferred
22678145,150,Tinamous,Tinamus osgoodi,Black Tinamou,VU,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,969000,1900-4400,suspected,Decreasing,inferred
22678148,160,Tinamous,Tinamus major,Great Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,11900000,5000000-49999999,suspected,Decreasing,inferred
22678151,170,Tinamous,Tinamus guttatus,White-throated Tinamou,NT,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,5250000,200000-500000,suspected,Decreasing,inferred
22678163,180,Tinamous,Crypturellus berlepschi,Berlepsch's Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,104000,Unknown,not applicable,Decreasing,suspected
22678166,190,Tinamous,Crypturellus cinereus,Cinereous Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,6630000,Unknown,not applicable,Decreasing,suspected
22678172,200,Tinamous,Crypturellus ptaritepui,Tepui Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,8400,20700,Unknown,not applicable,Stable,suspected
22678169,210,Tinamous,Crypturellus soui,Little Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,15200000,500000-5000000,suspected,Decreasing,suspected
22678176,220,Tinamous,Crypturellus obsoletus,Brown Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,1180000,Unknown,not applicable,Decreasing,suspected
22678182,230,Tinamous,Crypturellus undulatus,Undulated Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,10600000,Unknown,not applicable,Decreasing,suspected
22678188,240,Tinamous,Crypturellus strigulosus,Brazilian Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,4650000,Unknown,not applicable,Decreasing,suspected
22678213,250,Tinamous,Crypturellus duidae,Grey-legged Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,1340000,100000-499999,estimated,Decreasing,inferred
22729569,260,Tinamous,Crypturellus erythropus,Red-legged Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,2750000,Unknown,not applicable,Decreasing,suspected
22678217,270,Tinamous,Crypturellus noctivagus,Yellow-legged Tinamou,NT,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,2230000,10000-19999,suspected,Decreasing,inferred
22678220,280,Tinamous,Crypturellus atrocapillus,Black-capped Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,486000,80000-300000,inferred,Decreasing,inferred
22678179,290,Tinamous,Crypturellus cinnamomeus,Thicket Tinamou,LC,FALSE,FALSE,FALSE,FALSE,TRUE,Not a migrant,TRUE,FALSE,FALSE,Unknown,2293000,500000-4999999,suspected,Decreasing,suspected
